Restaurant Name,Longitude,Latitude,Average Cost for two,Aggregate rating,Cuisines
Le Petit Souffle,121.027535,14.565443,1100,4.8,"French, Japanese, Desserts"
Izakaya Kikufuji,121.014101,14.553708,1200,4.5,Japanese
Heat - Edsa Shangri-La,121.056831,14.581404,1375,4.4,"Seafood, Asian, Filipino, Indian"
Ooma,121.056475,14.585318,1375,4.9,"Japanese, Sushi"
Sambo Kojin,121.057508,14.58445,1375,4.8,"Japanese, Korean"
Din Tai Fung,121.056314,14.583764,1000,4.4,Chinese
Buffet 101,120.9796667,14.53133333,1375,4,"Asian, European"
Vikings,120.9793333,14.54,1375,4.2,"Seafood, Filipino, Asian, European"
Spiral - Sofitel Philippine Plaza Manila,120.98009,14.55299,1375,4.9,"European, Asian, Indian"
Locavore,121.056532,14.572041,1100,4.8,Filipino
Silantro Fil-Mex,121.057916,14.567689,800,4.9,"Filipino, Mexican"
Mad Mark's Creamery & Good Eats,121.06082,14.570849,900,4.2,"American, Ice Cream, Desserts"
Silantro Fil-Mex,121.075419,14.649503,800,4.8,"Filipino, Mexican"
Guevarra's,121.0335917,14.59345,1000,4.2,Filipino
Sodam Korean Restaurant,121.03811,14.59889,700,4.3,Korean
Cafe Arabelle,121.05704,14.237082,800,3.6,"Cafe, American, Italian, Filipino"
Nonna's Pasta & Pizzeria,121.0565874,14.23767897,850,4,"Italian, Pizza"
Balay Dako,120.951589,14.101834,1200,4.5,Filipino
Hobing Korean Dessert Cafe,121.045878,14.55436,600,4.5,"Cafe, Korean, Desserts"
Wildflour Cafe + Bakery,121.04622,14.549337,1375,4.4,"Cafe, Bakery, American, Italian"
NIU by Vikings,121.053725,14.545858,1375,4.7,"Seafood, American, Mediterranean, Japanese"
The Food Hall by Todd English,121.0534998,14.54565535,1375,4.5,"American, Asian, Italian, Seafood"
Chez Michou,-47.88178889,-15.76414167,55,3,"Fast Food, French"
Caf?? Daniel Briand,-47.88266667,-15.7775,30,3.8,Cafe
Casa do Biscoito Mineiro,-47.88213611,-15.75747222,45,3.7,Bakery
Maori,-47.88816667,-15.75883333,60,3.8,Brazilian
Pizza ?? Bessa,-47.91566667,-15.83116667,50,3.2,Pizza
Sushi Loko,-47.91566667,-15.831,80,3.1,Japanese
Beirute,-47.9075,-15.82,90,3.7,Arabian
New Koto,-47.91016667,-15.82733333,200,3.7,Japanese
Sandubas Caf??,-47.89016667,-15.797,30,0,"Brazilian, Cafe"
Villa Tevere,-47.92366667,-15.83133333,150,4.1,Italian
Rovereto,-48.019,-15.83716667,100,3.1,Pizza
Buena Carne,-48.01909167,-15.839775,60,3.6,"Bar Food, Brazilian"
Taco Pep,-48.01666667,-15.83483333,100,4.3,"Mexican, Grill"
Coco Bambu,-47.889,-15.7865,230,4.2,International
Tayp??,-47.872359,-15.860621,100,3.6,"Peruvian, Latin American"
Outback Steakhouse,-47.95628333,-15.83451389,150,4,"American, Grill"
Manzu??,-47.87283333,-15.82566667,240,3.2,Seafood
Coco Bambu,-47.8685,-15.819,230,4.9,International
Gero,-47.885812,-15.720118,350,3.3,Italian
Brazilian American Burgers,-47.92102778,-15.79753056,50,3.6,"American, Burger"
Pesqueiro Eco Gourmet,-43.377,-23.0115,140,4,"Seafood, Bar Food, Brazilian"
Confeitaria Colombo,-43.178826,-22.905293,100,4.8,"Desserts, Cafe"
Bibi,-43.18669167,-22.97207222,60,4.7,"Juices, Healthy Food"
Cervantes,-43.17583333,-22.96216667,90,4.5,"Beverages, Bar Food, Fast Food"
Amir,-43.176,-22.96516667,170,4.2,Lebanese
TT Burger,-43.191,-22.98683333,60,4.8,Burger
Braseiro da G??vea,-43.227042,-22.973507,100,4.9,"Brazilian, Bar Food"
Balada Mix,-43.211425,-22.98520833,90,4.6,"Brazilian, Healthy Food, Juices, Pizza"
Garota de Ipanema,-43.203,-22.98533333,120,4.9,"Brazilian, Bar Food"
Zaz?? Bistr?? Tropical,-43.20520833,-22.98531944,170,4.6,Brazilian
Fil?? de Ouro,-43.219563,-22.966647,90,4.3,Brazilian
D.O.C Ristorante,-43.34879167,-22.99991111,150,4,Italian
Sushi Leblon,-43.227,-22.98416667,250,4.6,Japanese
Talho Capixaba,-43.22566667,-22.98516667,120,4.4,"Bakery, Sandwich, Brazilian"
Leme Light,-43.17279167,-22.963925,40,4.2,Brazilian
Shirley,-43.17126389,-22.96337222,250,4.2,"Brazilian, Seafood"
Quiosque Chopp Brahma,-43.341164,-22.870413,70,0,"Bar Food, Brazilian"
Apraz?_vel,-43.18736944,-22.92481389,300,4.7,Brazilian
Aconchego Carioca,-43.21551111,-22.91370833,85,4.6,"Brazilian, Bar Food"
Garota de Ipanema,-43.16266667,-22.94783333,80,4.3,"Brazilian, Bar Food"
Cantina Famiglia Mancini,-46.64516667,-23.55066667,250,4.5,"Italian, Pizza"
